*X,dH_J_mol,dS_J_mol_K
0.7565879,-10217.32,24.42533
0.7575371,-10225.23,24.39881
0.7584863,-10233.13,24.37228
0.7594355,-10241.04,24.34575
0.7603847,-10248.95,24.31923
0.7613339,-10256.86,24.29270
0.7622831,-10264.77,24.26618
0.7632323,-10272.68,24.23965
0.7641815,-10280.59,24.21313
0.7651308,-10288.49,24.18660
0.7660800,-10298.52,24.15296
0.7670292,-10309.26,24.11696
0.7679784,-10319.99,24.08096
0.7689276,-10330.72,24.04496
0.7698768,-10341.46,24.00897
0.7708260,-10352.19,23.97297
0.7717752,-10362.92,23.93697
0.7727244,-10373.66,23.90097
0.7736736,-10384.39,23.86497
0.7746228,-10395.12,23.82897
0.7755720,-10405.80,23.79316
0.7765212,-10416.25,23.75811
0.7774704,-10426.70,23.72306
